GMfas1			EXT		
t	x	y	t	x	y
17.62820513	35.49624154	8.927803409	17.62820513	20.20678679	29.88378739
17.68346596	35.52029712	8.933534053	17.68346596	20.22070669	29.88377259
17.73872679	35.60108728	8.930013298	17.73872679	20.2829259	29.88328224
17.79398762	35.60660312	8.930649397	17.79398762	20.28983894	29.88361436
17.84924845	35.61320919	8.931799518	17.84924845	20.29657916	29.88354321
17.90450928	35.61045704	8.929104091	17.90450928	20.29425329	29.88365264
17.95977011	35.60409087	8.930479321	17.95977011	20.2887783	29.88402941
18.01503095	35.59440706	8.929714383	18.01503095	20.2913443	29.88428236
18.07029178	35.59028478	8.924305996	18.07029178	20.2836014	29.88434644
18.12555261	35.60116909	8.912506742	18.12555261	20.2821048	29.88428179
18.18081344	35.61786477	8.914834664	18.18081344	20.28039073	29.88419992
18.23607427	35.61906876	8.919322759	18.23607427	20.2813013	29.8842548
18.2913351	35.6086771	8.924336177	18.2913351	20.27908144	29.88449025
18.34659593	35.61077191	8.923616764	18.34659593	20.27886425	29.88460345
18.40185676	35.61898654	8.922258118	18.40185676	20.27791075	29.88444213
18.4571176	35.67794051	8.917881404	18.4571176	20.27808187	29.88452198
18.51237843	35.72745155	8.912504835	18.51237843	20.27740839	29.88427999
18.56763926	35.77304148	8.915651982	18.56763926	20.27907216	29.88458829
18.62290009	35.79415599	8.917626239	18.62290009	20.28001919	29.88445421
18.67816092	35.7982127	8.921172114	18.67816092	20.28090603	29.88455506
18.73342175	35.82023897	8.900481217	18.73342175	20.27889486	29.88457424
18.78868258	35.86255146	8.894898444	18.78868258	20.27831094	29.8846481
18.84394341	35.93591141	8.884194916	18.84394341	20.27963207	29.88475836
18.89920424	35.87527235	8.858734884	18.89920424	20.28050736	29.88462781
18.95446508	35.91553748	8.828205158	18.95446508	20.28290796	29.88465328
19.00972591	35.9479329	8.815113023	19.00972591	20.28136019	29.88448843
19.06498674	36.00864352	8.803498194	19.06498674	20.28807412	29.88478243
19.12024757	36.03699877	8.797186665	19.12024757	20.2818871	29.88460625
19.1755084	35.92648248	8.751047844	19.1755084	20.28007911	29.88459424
19.23076923	35.94600002	8.716368957	19.23076923	20.27821138	29.8842537
19.28603006	35.94745008	8.716849343	19.28603006	20.27852473	29.88442273
19.34129089	35.95652312	8.710440921	19.34129089	20.28178753	29.88454111
19.39655172	35.98391917	8.709552646	19.39655172	20.28332282	29.88433396
19.45181256	36.02761344	8.708368855	19.45181256	20.2890331	29.88432608
19.50707339	36.05448093	8.700664959	19.50707339	20.28987893	29.88463754
19.56233422	36.05904173	8.694807886	19.56233422	20.28971309	29.8842305
19.61759505	36.07004424	8.687863089	19.61759505	20.2869341	29.88437232
19.67285588	36.14419545	8.67549312	19.67285588	20.28561576	29.88442688
19.72811671	36.14043565	8.693780697	19.72811671	20.28640007	29.88433917
19.78337754	36.14397562	8.69331048	19.78337754	20.28306668	29.88447294
19.83863837	36.14104709	8.691968329	19.83863837	20.28012945	29.88432588
19.8938992	36.10770896	8.633026964	19.8938992	20.28056314	29.88431934
19.94916004	36.14676287	8.606439395	19.94916004	20.28138941	29.88419373
20.00442087	36.15838278	8.60117202	20.00442087	20.28213248	29.88428813
20.0596817	36.1464621	8.600272541	20.0596817	20.28044752	29.88448366
20.11494253	36.14902627	8.595061536	20.11494253	20.27919817	29.88428545
20.17020336	36.16155596	8.592822824	20.17020336	20.27763525	29.88423201
20.22546419	36.16333653	8.589283079	20.22546419	20.27604371	29.88411577
20.28072502	36.14155415	8.598487519	20.28072502	20.27642237	29.88408354
20.33598585	36.14317683	8.59991877	20.33598585	20.27892214	29.88411918
20.39124668	36.1681062	8.59334425	20.39124668	20.27911424	29.88413976
20.44650752	36.15645485	8.598486154	20.44650752	20.27787889	29.88430905
20.50176835	36.1550127	8.597949397	20.50176835	20.27838481	29.88403332
20.55702918	36.14033706	8.602194754	20.55702918	20.27680343	29.88428456
20.61229001	36.13437732	8.602529786	20.61229001	20.27640327	29.88409564
20.66755084	36.13805976	8.601872332	20.66755084	20.2777397	29.88418922
20.72281167	36.14246165	8.601139471	20.72281167	20.27878631	29.88422398
20.7780725	36.15474625	8.598441305	20.7780725	20.27701169	29.88415279
20.83333333	36.15006498	8.600414844	20.83333333	20.27955941	29.88414113
20.88859416	36.14109312	8.601565811	20.88859416	20.28018899	29.88408521
20.943855	36.13506179	8.601709641	20.943855	20.27717596	29.8843177
20.99911583	36.13016577	8.605104659	20.99911583	20.27780017	29.88410366
21.05437666	36.13733759	8.605168737	21.05437666	20.27862746	29.88396852
21.10963749	36.13383384	8.606745021	21.10963749	20.27867395	29.88404418
21.16489832	36.12523008	8.609643441	21.16489832	20.27831687	29.88390764
21.22015915	36.12555418	8.609187513	21.22015915	20.27914704	29.8839706
