GM fasc			Ext		
t	x	y	t	x	y
21.40089419	9.941246108	1.069788611	21.40089419	4.69342853	8.496640113
21.46050671	9.94271312	1.069969395	21.46050671	4.695163997	8.497006571
21.52011923	9.941428393	1.069541995	21.52011923	4.697214543	8.496773628
21.57973174	9.943836124	1.069062934	21.57973174	4.696025109	8.496618987
21.63934426	9.939732047	1.068596235	21.63934426	4.699107378	8.496741139
21.69895678	9.941364707	1.067501038	21.69895678	4.698131645	8.49681624
21.7585693	9.938486195	1.067877419	21.7585693	4.699058553	8.496471681
21.81818182	9.937058994	1.069181964	21.81818182	4.698978282	8.496383296
21.87779434	9.937992276	1.069708816	21.87779434	4.699640379	8.496305286
21.93740686	9.936804464	1.069848907	21.93740686	4.700776355	8.49626587
21.99701937	9.936928263	1.069279097	21.99701937	4.700378738	8.495877098
22.05663189	9.942307288	1.067719759	22.05663189	4.699448113	8.496138287
22.11624441	9.943678393	1.066992156	22.11624441	4.699653784	8.495741197
22.17585693	9.946777544	1.066856224	22.17585693	4.698732685	8.495828384
22.23546945	9.936818389	1.067965872	22.23546945	4.697822323	8.496026129
22.29508197	9.935942267	1.067869477	22.29508197	4.696511765	8.495814977
22.35469449	9.938954369	1.067911456	22.35469449	4.697683394	8.496107689
22.414307	9.92966354	1.068143019	22.414307	4.696268572	8.496373926
22.47391952	9.911613285	1.070334725	22.47391952	4.693508121	8.496344186
22.53353204	9.876250552	1.073001871	22.53353204	4.692966892	8.495850043
22.59314456	9.830178855	1.076760577	22.59314456	4.693446646	8.495636525
22.65275708	9.839205299	1.076412464	22.65275708	4.692871631	8.495442898
22.7123696	9.827643028	1.077888646	22.7123696	4.694190866	8.49535771
22.77198212	9.837796827	1.077140788	22.77198212	4.694726291	8.495700967
22.83159463	9.847644742	1.076360977	22.83159463	4.69396072	8.49538624
